,id,title,type,abstract,source,year,authors,keywords,link,month,day,revision,pages,volume,issue,websites,publisher,city,edition,institution,series,chapter,editors,file_attached,reader_count,reader_count_by_academic_status,reader_count_by_subdiscipline,reader_count_by_country,group_count,arxiv,doi,isbn,issn,pii,pmid,pui,scopus,sgr
86,2a6d3e85-3b41-3942-89de-5e3f661fcfb9,Requirements engineering: a roadmap,journal,"This paper presents an overview of the field of software systems requirements engineering (RE). It describes the main areas of RE practice, and highlights some key open research issues for the future",Proceedings of the conference on The future of Software engineering - ICSE '00,2000.0,"Nuseibeh, Bashar; Easterbrook, Steve",,http://www.mendeley.com/research/requirements-engineering-roadmap,,,,35-46,1,,['http://portal.acm.org/citation.cfm?doid=336512.336523'],,,,,,,,False,911,"{'Student  > Bachelor': 87, 'Researcher': 93, 'Other': 25, 'Student  > Ph. D. Student': 237, 'Professor > Associate Professor': 40, 'Librarian': 1, 'Lecturer': 24, 'Student  > Master': 258, 'Student  > Doctoral Student': 53, 'Lecturer > Senior Lecturer': 9, 'Professor': 25, 'Student  > Postgraduate': 59}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 4}, 'Chemistry': {'Chemistry': 1}, 'Mathematics': {'Mathematics': 3}, 'Medicine and Dentistry': {'Medicine and Dentistry': 4}, 'Arts and Humanities': {'Arts and Humanities': 2}, 'Decision Sciences': {'Decision Sciences': 1}, 'Computer Science': {'Computer Science': 685}, 'Psychology': {'Psychology': 7}, 'Sports and Recreations': {'Sports and Recreations': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 60}, 'Physics and Astronomy': {'Physics and Astronomy': 1}, 'Engineering': {'Engineering': 103}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 1}, 'Design': {'Design': 11}, 'Environmental Science': {'Environmental Science': 4}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 7}, 'Social Sciences': {'Social Sciences': 16}}","{'Belgium': 2, 'Egypt': 1, 'Spain': 3, 'Switzerland': 6, 'Kenya': 2, 'Indonesia': 2, 'Portugal': 4, 'Italy': 6, 'Malaysia': 2, 'Mexico': 2, 'China': 3, 'Vietnam': 1, 'Colombia': 1, 'Argentina': 2, 'France': 2, 'Slovenia': 1, 'Chile': 3, 'Canada': 6, 'Denmark': 1, 'India': 2, 'Australia': 6, 'Finland': 2, 'Netherlands': 10, 'Korea (South)': 1, 'Taiwan': 1, 'Luxembourg': 1, 'Brazil': 24, 'United Kingdom': 13, 'Austria': 3, 'Tanzania': 1, 'Germany': 35, 'Iran': 1, 'South Africa': 6, 'Japan': 2, 'United States': 10, 'Ireland': 1, 'Norway': 2, 'Sweden': 6}",,,10.1145/336512.336523,1581132530,00368075,,17742320,,,
87,c6319279-8504-3a0f-92bb-00c95dc419ca,Deciphering the neural and molecular mechanisms of C. elegans behavior,generic,"Because of its small and well-characterized nervous system and amenability to genetic manipulation, the nematode Caenorhabditis elegans offers the promise of understanding the mechanisms underlying a whole animal's behavior at the molecular and cellular levels. In fact, this goal was a primary motivation behind the development of C. elegans as an experimental organism 40 years ago. Yet it has proven surprisingly difficult to obtain a mechanistic understanding of how the C. elegans nervous system generates behavior, despite the existence of a 'wiring diagram' that contains a degree of information about neural connectivity unparalleled in any organism. This review describes three types of information - molecular data on cellular neurochemistry, temporal information about neural activity patterns, and behavioral data on the consequences of neural ablation and manipulation - that, along with genetic analysis, may ultimately lead to a complete functional map of the C. elegans nervous system. ??2005 Elsevier Ltd. All rights reserved.",Current Biology,2005.0,"Schafer, William R.",,http://www.mendeley.com/research/deciphering-neural-molecular-mechanisms-c-elegans-behavior,9.0,6.0,,,15,17,,,,,,,,,False,88,"{'Student  > Ph. D. Student': 21, 'Professor > Associate Professor': 5, 'Student  > Master': 16, 'Student  > Bachelor': 7, 'Student  > Doctoral Student': 3, 'Other': 7, 'Professor': 4, 'Researcher': 20, 'Student  > Postgraduate': 5}","{'Materials Science': {'Materials Science': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 61}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 3}, 'Physics and Astronomy': {'Physics and Astronomy': 1}, 'Engineering': {'Engineering': 6}, 'Medicine and Dentistry': {'Medicine and Dentistry': 3}, 'Neuroscience': {'Neuroscience': 5}, 'Computer Science': {'Computer Science': 2}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Psychology': {'Psychology': 3}, 'Social Sciences': {'Social Sciences': 2}}","{'United Kingdom': 2, 'India': 1, 'China': 1, 'South Korea': 1, 'Japan': 2, 'United States': 8, 'France': 1, 'Netherlands': 1, 'Canada': 3, 'Finland': 1}",,,10.1016/j.cub.2005.08.020,0960-9822 (Print)\r0960-9822 (Linking),09609822,S0960982205009401,16139205,41219589,2-s2.0-24044502527,24044502527
88,cc979f99-f54c-328c-b7ba-3ea7c2f50147,Cretaceous oceanic anoxic events: causes and consequences,journal,"Organic carbon-rich sediments are globally developed in pelagic sedimentary sequences of Aptian-Albian and Cenomanian-Turonian age. They formed in a variety of paleo-bathymetric settings including oceanic plateaus and basins, continental margins and shelf seas. The widespread nature of these deposits suggests that they were not strictly controlled by local basin geometry but were a product of ""Oceanic Anoxic Events We interpret these events as the result of the interplay of two major geologic and climatic factors: firstly the Late Cretaceous transgression which increased the area and volume of shallow epicontinental and marginal seas and was accompanied by an increase in the production of organic carbon; and secondly the existence of an equable global climate which reduced the supply of cold oxygenated bottom water to the world ocean. This combination of climatic and hypsographic conditions favoured the formation of an expanded oxygen-minimum layer and where this intersected the sediment-water interface, organic carbon-rich deposits could be for- med, these being records of ""Oceanic Anoxic Events"".",Geologie en Mijnbouw/Netherlands Journal of Geosciences,1976.0,"Schlanger, S.O.; Jenkyns, H.C.",,http://www.mendeley.com/research/cretaceous-oceanic-anoxic-events-causes-consequences,,,,179-184,55,3-4,,,,,,,,,False,132,"{'Lecturer': 1, 'Student  > Ph. D. Student': 30, 'Professor > Associate Professor': 5, 'Student  > Master': 30, 'Student  > Bachelor': 13, 'Student  > Doctoral Student': 8, 'Other': 5, 'Professor': 5, 'Researcher': 32, 'Student  > Postgraduate': 3}","{'Business, Management and Accounting': {'Business, Management and Accounting': 2}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 10}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 112}, 'Chemistry': {'Chemistry': 2}, 'Environmental Science': {'Environmental Science': 6}}","{'Germany': 4, 'United Kingdom': 1, 'Switzerland': 1, 'United States': 1, 'Brazil': 3, 'Netherlands': 1, 'Mexico': 1, 'Italy': 2, 'Republic of Singapore': 1}",,,,,02646021,,6009,7392795,2-s2.0-0017021016,0017021016
90,1473fb7f-f555-3a3a-b7b6-20707cdda61a,"Entering the Agon: Dissent and Authority in Homer, Historiography, and Tragedy",book,"This book investigates one of the most characteristic and prominent features of ancient Greek literature-the scene of debate or agon, in which with varying degrees of formality characters square up to each other and engage in a contest of words-and sets out for the first time to trace its changing representations through Homeric epic, historiography and tragedy. Combining literary dialogic theory with sociological approaches towards structure, it makes the claim that debate is best understood in relation to an institutional framework, in which issues of authority and dissent are variously set out and worked through. Engaging with key recent scholarship, it shows that the Homeric poems establish, and scrutinize, the assembly as an institution which accommodates dissent, in line with an understanding of epic narrative as foundational; that the historians' marginal status as writers in an oral culture manifests itself in their representing debate as a challenge to the utility of public institutions; and that tragedy marks the formal institutionalization of dissent in its adversarial structure with an onus on speaking back, offering a new way of thinking about tragic politics in terms of the process by which dissent is enacted and managed. Aimed at both scholar and student, including anyone interested in the origins of political thought, this book demonstrates not only the fundamental importance of debate to these genres, but also the ways representations of debate reproduce an agonistic mentality which intersects with and informs the broader cultural construction of a citizen community. Book jacket.","Entering the Agon: Dissent and Authority in Homer, Historiography, and Tragedy",2009.0,"Barker, Elton T E","['Agon', 'Authority', 'Debate', 'Dissent', 'Epic', 'Historiography', 'Institution', 'Politics', 'Tragedy']",http://www.mendeley.com/research/entering-agon-dissent-authority-homer-historiography-tragedy,5.0,1.0,,1-448,,,,Oxford University Press,,,,,,,False,10,"{'Student  > Ph. D. Student': 3, 'Student  > Doctoral Student': 2, 'Researcher': 2, 'Student  > Master': 1, 'Librarian': 2}","{'Arts and Humanities': {'Arts and Humanities': 6}, 'Philosophy': {'Philosophy': 2}, 'Social Sciences': {'Social Sciences': 2}}","{'Brazil': 1, 'United States': 1, 'Poland': 1}",,,10.1093/acprof:oso/9780199542710.001.0001,9780191715365,,,,601429235,2-s2.0-80052979865,80052979865
93,364377ce-c5d6-322f-a8f0-b540b97e1bd0,Development and validation of the mathematical resilience scale,journal,"The Mathematical Resilience Scale measures students' attitudes toward studying mathematics, using three correlated factors: Value, Struggle, and Growth. The Mathematical Resilience Scale was developed and validated using exploratory and confirmatory factor analyses across three samples. Results provide a new approach to gauge the likelihood of student participation and persistence in mathematics. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (journal abstract)",Measurement and Evaluation in Counseling and Development,2015.0,"Kooken, Janice; Welsh, Megan E; McCoach, D Betsy; Johnston-Wilder, Sue; Lee, Clare","['classroom', 'converge in the mathematics', 'life of a student', 'many influences in the', 'mathematical attitudes', 'stem persistence', 'struggle']",http://www.mendeley.com/research/development-validation-mathematical-resilience-scale,,,,0748175615596782,,,,,,,,,,,False,11,"{'Student  > Ph. D. Student': 6, 'Student  > Master': 4, 'Lecturer': 1}","{'Business, Management and Accounting': {'Business, Management and Accounting': 2}, 'Mathematics': {'Mathematics': 1}, 'Psychology': {'Psychology': 2}, 'Social Sciences': {'Social Sciences': 6}}",,,,10.1177/0748175615596782,0748-1756,0748-1756,,,610552282,2-s2.0-84971275482,84971275482
94,9b6d835c-98a8-3c0a-ad1b-af3c0140cbfa,The social psychology of creativity: A componential conceptualization.,journal,"Considers the definition and assessment of creativity and presents a componential framework for conceptualizing this faculty. Including domain-relevant skills, creativity-relevant skills, and task motivation as a set of necessary and sufficient components of creativity, the framework describes the way in which cognitive abilities, personality characteristics, and social factors might contribute to stages of the creative process. The discussion emphasizes the previously neglected social factors and highlights the contributions that a social psychology of creativity can make to a comprehensive view of creative performance",Journal of Personality and Social Psychology,1983.0,"Amabile, Teresa M.",,http://www.mendeley.com/research/social-psychology-creativity-componential-conceptualization,,,,357-376,45,2,,,,,,,,,False,746,"{'Student  > Bachelor': 68, 'Professor > Associate Professor': 59, 'Other': 15, 'Student  > Ph. D. Student': 215, 'Researcher': 57, 'Librarian': 2, 'Lecturer': 16, 'Student  > Master': 165, 'Student  > Doctoral Student': 84, 'Lecturer > Senior Lecturer': 13, 'Professor': 24, 'Student  > Postgraduate': 28}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 8}, 'Biochemistry, Genetics and Molecular Biology': {'Biochemistry, Genetics and Molecular Biology': 1}, 'Mathematics': {'Mathematics': 1}, 'Medicine and Dentistry': {'Medicine and Dentistry': 6}, 'Arts and Humanities': {'Arts and Humanities': 16}, 'Neuroscience': {'Neuroscience': 1}, 'Decision Sciences': {'Decision Sciences': 2}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 1}, 'Psychology': {'Psychology': 165}, 'Sports and Recreations': {'Sports and Recreations': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 263}, 'Linguistics': {'Linguistics': 2}, 'Computer Science': {'Computer Science': 57}, 'Physics and Astronomy': {'Physics and Astronomy': 6}, 'Engineering': {'Engineering': 24}, 'Design': {'Design': 25}, 'Environmental Science': {'Environmental Science': 2}, 'Nursing and Health Professions': {'Nursing and Health Professions': 2}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 29}, 'Social Sciences': {'Social Sciences': 134}}","{'Belgium': 1, 'Thailand': 1, 'United States': 30, 'Indonesia': 1, 'Greece': 1, 'Portugal': 2, 'Italy': 2, 'Malaysia': 5, 'China': 2, 'Colombia': 1, 'Argentina': 1, 'Brazil': 2, 'Switzerland': 1, 'Luxembourg': 1, 'Canada': 3, 'Denmark': 1, 'Australia': 3, 'Finland': 1, 'Netherlands': 4, 'Korea (South)': 1, 'United Kingdom': 14, 'Austria': 1, 'Hong Kong': 3, 'Germany': 12, 'South Africa': 2, 'France': 7, 'Japan': 1, 'Spain': 3, 'Ireland': 1, 'Norway': 1, 'Republic of Singapore': 1}",,,10.1037/0022-3514.45.2.357,0022-3514,0022-3514,S002235140764391X,683,213230174,2-s2.0-58149371439,58149371439
95,cbe9d85e-1dba-3e58-b0ce-9ac5bc1793ec,Beyond Big and Little: The Four C Model of Creativity.,journal,"Most investigations of creativity tend to take one of two directions: everyday creativity (also called “little-c”), which can be found in nearly all people, and eminent creativity (also called “Big-C”), which is reserved for the great. In this paper, the authors propose a Four C model of creativity that expands this dichotomy. Specifically, the authors add the idea of “mini-c,” creativity inherent in the learning process, and Pro-c, the developmental and effortful progression beyond little-c that represents professional-level expertise in any creative area. The authors include different transitions and gradations of these four dimensions of creativity, and then discuss advantages and examples of the Four C Model. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",Review of General Psychology,2009.0,"Kaufman, James C.; Beghetto, Ronald a.","['1950 meeting of the', 'american psychological association', 'at the', 'bring creativity to the', 'creative development', 'creativity', 'everyday creativity', 'forefront of', 'genius', 'one event took place', 'psychology and the united', 'states', 'two separate events helped', 'when']",http://www.mendeley.com/research/beyond-big-little-four-c-model-creativity,,,,1-12,13,1,,,,,,,,,False,397,"{'Lecturer': 15, 'Student  > Ph. D. Student': 94, 'Professor > Associate Professor': 22, 'Student  > Master': 97, 'Student  > Bachelor': 39, 'Student  > Doctoral Student': 37, 'Lecturer > Senior Lecturer': 5, 'Other': 9, 'Professor': 19, 'Researcher': 40, 'Student  > Postgraduate': 20}","{'Philosophy': {'Philosophy': 2}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 14}, 'Medicine and Dentistry': {'Medicine and Dentistry': 3}, 'Arts and Humanities': {'Arts and Humanities': 25}, 'Neuroscience': {'Neuroscience': 2}, 'Decision Sciences': {'Decision Sciences': 1}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 1}, 'Psychology': {'Psychology': 127}, 'Sports and Recreations': {'Sports and Recreations': 2}, 'Business, Management and Accounting': {'Business, Management and Accounting': 51}, 'Computer Science': {'Computer Science': 29}, 'Physics and Astronomy': {'Physics and Astronomy': 2}, 'Engineering': {'Engineering': 7}, 'Design': {'Design': 19}, 'Environmental Science': {'Environmental Science': 2}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 6}, 'Social Sciences': {'Social Sciences': 104}}","{'United States': 17, 'Iceland': 1, 'Portugal': 2, 'Italy': 1, 'Turkey': 1, 'Hungary': 1, 'Colombia': 1, 'Argentina': 1, 'France': 5, 'Netherlands': 2, 'Canada': 3, 'India': 1, 'Australia': 3, 'Korea (South)': 2, 'Malaysia': 2, 'United Kingdom': 14, 'Austria': 4, 'Israel': 2, 'Germany': 6, 'New Zealand': 2, 'Japan': 2, 'Spain': 2, 'Denmark': 1, 'Sweden': 1}",,0803973233,10.1037/a0013688,1089-2680\r1939-1552,1089-2680,S1089268009600016,20854159,354451832,2-s2.0-64249164191,64249164191
96,9549a963-8e31-3b17-a1c1-da59bd7628fe,Older people and 'active ageing': Subjective aspects of ageing actively,journal,"Following a critical overview of the active ageing concept, a thematic decomposition of 42 transcribed interviews with British people aged 72 years and over indicates that active ageing is understood in relation to physical, cognitive, psychological and social factors, but that these co-exist in complex combinations. The notion of activity in active ageing is grasped in relation to an active/passive distinction which emphasizes the enhancement or diminishment of concrete powers of activity. A 'challenge and response' framework is suggested for future research on active ageing.",Journal of Health Psychology,2010.0,"Stenner, Paul; McFarquhar, Tara; Bowling, Ann","['activity', 'affect', 'age', 'critical health psychology', 'qualitative methods']",http://www.mendeley.com/research/older-people-active-ageing-subjective-aspects-ageing-actively,4.0,1.0,,467-477,16,3,['http://hpq.sagepub.com/cgi/doi/10.1177/1359105310384298'],,,,,,,,False,103,"{'Student  > Bachelor': 7, 'Researcher': 23, 'Other': 1, 'Student  > Ph. D. Student': 29, 'Professor > Associate Professor': 7, 'Librarian': 1, 'Lecturer': 3, 'Student  > Master': 15, 'Student  > Doctoral Student': 6, 'Lecturer > Senior Lecturer': 1, 'Professor': 6, 'Student  > Postgraduate': 4}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 2}, 'Medicine and Dentistry': {'Medicine and Dentistry': 13}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 7}, 'Psychology': {'Psychology': 23}, 'Sports and Recreations': {'Sports and Recreations': 1}, 'Social Sciences': {'Social Sciences': 43}, 'Arts and Humanities': {'Arts and Humanities': 2}, 'Design': {'Design': 4}, 'Computer Science': {'Computer Science': 5}, 'Nursing and Health Professions': {'Nursing and Health Professions': 1}, 'Environmental Science': {'Environmental Science': 1}}","{'Germany': 1, 'Finland': 1, 'United States': 1, 'Spain': 3, 'United Kingdom': 2, 'Austria': 1, 'Canada': 1, 'Portugal': 1}",,,10.1177/1359105310384298,1461-7277,1359-1053,,21224334,361540899,2-s2.0-79953297711,79953297711
97,fe3c6d05-77e9-3d83-96ce-994a920c212b,"Doing Q ethodology: theory, method and interpretation",journal,"This paper has a marked practical aspect. We wish to encourage and facilitate the use of Q methodology amongst psychologists interested in qualitative research. The paper duly answers a number of pertinent ‘how to do Q’ questions. Yet our primary intention is not to produce an exhaustive ‘how to do Q’ guide. In discussing issues of theory, method and interpretation in Q methodology, the main aim of the paper is rather to address some of the more common misunderstandings and misrepresentations that constitute obstacles to the use of one of the very first ‘alternative’ methods to have been developed in the context of psychology. In addressing such obstacles, the paper hopes to bring ‘Why do Q?’ questions to the fore. In so doing, Q methodology will also be ‘positioned’ in relation to a number of other qualitative research methods, each of which currently enjoys a degree of prominence within the psychological discipline.",Qualitative Research in Psychology,2005.0,"Watts, Simon; Stenner, Paul","['eigenvalues', 'factor analysis', 'factor extraction', 'factor inter-', 'factor rotation', 'measurement', 'pretation', 'q methodology', 'q set', 'q sorting', 'subjectivity', 'william stephenson']",http://www.mendeley.com/research/doing-q-ethodology-theory-method-interpretation,,,,67-91,2,1,['http://www.tandfonline.com/doi/abs/10.1191/1478088705qp022oa'],,,,,,,,False,133,"{'Lecturer': 9, 'Student  > Ph. D. Student': 43, 'Professor > Associate Professor': 8, 'Student  > Master': 26, 'Student  > Bachelor': 2, 'Student  > Doctoral Student': 14, 'Lecturer > Senior Lecturer': 1, 'Other': 6, 'Professor': 4, 'Researcher': 15, 'Student  > Postgraduate': 5}","{'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 5}, 'Medicine and Dentistry': {'Medicine and Dentistry': 4}, 'Arts and Humanities': {'Arts and Humanities': 3}, 'Computer Science': {'Computer Science': 4}, 'Environmental Science': {'Environmental Science': 19}, 'Psychology': {'Psychology': 19}, 'Business, Management and Accounting': {'Business, Management and Accounting': 13}, 'Linguistics': {'Linguistics': 1}, 'Economics, Econometrics and Finance': {'Economics, Econometrics and Finance': 5}, 'Engineering': {'Engineering': 4}, 'Design': {'Design': 1}, 'Energy': {'Energy': 1}, 'Veterinary Science and Veterinary Medicine': {'Veterinary Science and Veterinary Medicine': 1}, 'Social Sciences': {'Social Sciences': 53}}","{'Thailand': 1, 'United States': 4, 'United Arab Emirates': 1, 'United Kingdom': 5, 'Austria': 1, 'Spain': 1, 'Portugal': 1, 'Malaysia': 1, 'Ghana': 1, 'Colombia': 1, 'France': 2, 'Netherlands': 4, 'Mexico': 1, 'South Africa': 1}",,,10.1191/1478088705qp022oa,1478-0887\r1478-0895,1478-0887,,99318363901751,,,
98,d4666337-5571-33ba-acea-416542ee56e8,"Race/ethnicity, gender, and class in welfare states: A framework for comparative analysis",journal,"The author argues that welfare regime typologies that do not include social position characteristics, such as gender or race, fail to offer a comparative framework simply because these identities shape the spectrum of ""choice"" that is available. De-commodification affects people differently, depending on this social position. Institutional approaches often leave identity out of their analyses, despite the effect this has on how policies are implemented and experienced.",Social Politics,1995.0,"Williams, Fiona",,http://www.mendeley.com/research/raceethnicity-gender-class-welfare-states-framework-comparative-analysis-2,6.0,,,127-159,2,2,,,,,,,,,False,15,"{'Student  > Ph. D. Student': 6, 'Professor > Associate Professor': 2, 'Student  > Master': 1, 'Student  > Bachelor': 1, 'Student  > Doctoral Student': 1, 'Lecturer > Senior Lecturer': 1, 'Other': 1, 'Researcher': 2}","{'Arts and Humanities': {'Arts and Humanities': 1}, 'Nursing and Health Professions': {'Nursing and Health Professions': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Social Sciences': {'Social Sciences': 12}}",{'United Kingdom': 1},,,10.1093/sp/2.2.127,,10724745,,,250716575,2-s2.0-0000110837,0000110837
99,ce6105c5-4100-3e05-a030-4c5c85ca1b4f,"Beyond the deliberative subject? Problems of theory, method and critique in the turn to emotion and affect",journal,"This paper explores some of the issues for policy scholars arising from the increasing attention paid to ‘emotion’ and ‘affect’ in contemporary social science. One such issue is in the focus placed on detailed ethnographic methods and interpretive forms of analysis, and the problem this raises for drawing out connections to changing regimes of governing and wider shifts in policy and politics. A second lies in the modernist traditions of policy studies, traditions which privilege the rational actor and deliberative subject. This paper uses my own recent research to tease out some issues of method and of theory in conducting a research project that seeks to connect individual working lives to some of the major cultural and social change in Britain over the last 60 years. The paper begins by outlining the project and some of the issues raised in interpreting ‘emotion’, then goes on to show how I tried to link ethnographic data to wider questions of policy and power. The final section offers two different critical repertoires that have the capacity to link emotions and emotion work to analysis of shifting governmentalities and material conditions of work. Throughout my aim is to enhance the possibility of interdisciplinary conversations by introducing concepts and analytical framings from beyond the traditions of policy studies.",Critical policy studies,2012.0,"Newman, Janet","['changing', 'emotion and affect', 'ethnographic methods', 'interpretive analysis', 'regimes of governing']",http://www.mendeley.com/research/beyond-deliberative-subject-problems-theory-method-critique-turn-emotion-affect,,,,465-479,6,4,['http://oro.open.ac.uk/34511/1/Newman IPA paper.doc'],,,,,,,,False,21,"{'Student  > Ph. D. Student': 10, 'Professor > Associate Professor': 3, 'Student  > Master': 3, 'Student  > Doctoral Student': 2, 'Researcher': 2, 'Student  > Postgraduate': 1}","{'Design': {'Design': 1}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 1}, 'Business, Management and Accounting': {'Business, Management and Accounting': 1}, 'Social Sciences': {'Social Sciences': 18}}","{'United Kingdom': 3, 'Canada': 1, 'Azerbaijan': 1}",,,10.1080/19460171.2012.730799,,1946-0171,,,368067045,2-s2.0-84872015056,84872015056
100,ee104597-6d94-335a-ba14-c6393997e0ab,Volatile content of lunar volcanic glasses and the presence of water in the Moon's interior.,journal,"The Moon is generally thought to have formed and evolved through a single or a series of catastrophic heating events, during which most of the highly volatile elements were lost. Hydrogen, being the lightest element, is believed to have been completely lost during this period. Here we make use of considerable advances in secondary ion mass spectrometry to obtain improved limits on the indigenous volatile (CO(2), H(2)O, F, S and Cl) contents of the most primitive basalts in the Moon-the lunar volcanic glasses. Although the pre-eruptive water content of the lunar volcanic glasses cannot be precisely constrained, numerical modelling of diffusive degassing of the very-low-Ti glasses provides a best estimate of 745 p.p.m. water, with a minimum of 260 p.p.m. at the 95 per cent confidence level. Our results indicate that, contrary to prevailing ideas, the bulk Moon might not be entirely depleted in highly volatile elements, including water. Thus, the presence of water must be considered in models constraining the Moon's formation and its thermal and chemical evolution.",Nature,2008.0,"Saal, Alberto E; Hauri, Erik H; Cascio, Mauro L; Van Orman, James a; Rutherford, Malcolm C; Cooper, Reid F",,http://www.mendeley.com/research/volatile-content-lunar-volcanic-glasses-presence-water-moons-interior,,,,192-195,454,7201,,,,,,,,,False,148,"{'Lecturer': 1, 'Student  > Ph. D. Student': 41, 'Professor > Associate Professor': 11, 'Other': 9, 'Student  > Bachelor': 8, 'Student  > Doctoral Student': 3, 'Lecturer > Senior Lecturer': 1, 'Student  > Master': 13, 'Professor': 13, 'Researcher': 42, 'Student  > Postgraduate': 6}","{'Materials Science': {'Materials Science': 2}, 'Agricultural and Biological Sciences': {'Agricultural and Biological Sciences': 5}, 'Physics and Astronomy': {'Physics and Astronomy': 28}, 'Mathematics': {'Mathematics': 1}, 'Engineering': {'Engineering': 4}, 'Arts and Humanities': {'Arts and Humanities': 1}, 'Computer Science': {'Computer Science': 1}, 'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 103}, 'Chemistry': {'Chemistry': 3}}","{'United Kingdom': 1, 'Japan': 4, 'United States': 9, 'Argentina': 1, 'Puerto Rico': 1, 'Netherlands': 1, 'Chile': 1, 'Canada': 1}",,,10.1038/nature07047,1476-4687 (Electronic)\n0028-0836 (Linking),0028-0836,NATURE07047,18615079,351969892,2-s2.0-47049118401,47049118401
101,f3006a44-51ff-350d-9add-0329d5e8cebc,Asteroid (4) Vesta: I. The howardite-eucrite-diogenite (HED) clan of meteorites,generic,"The howardite, eucrite and diogenite (HED) clan of meteorites are ultramafic and mafic igneous rocks and impact-engendered fragmental debris derived from a thoroughly differentiated asteroid. Earth-based telescopic observation and data returned from vestan orbit by the Dawn spacecraft make a compelling case that the asteroid (4) Vesta is the parent asteroid of HEDs, although this is not universally accepted. Diogenites are petrologically diverse and include dunitic, harzburgitic and noritic lithologic types in addition to the traditional orthopyroxenites. Diogenites form the lower crust of Vesta. Cumulate eucrites are gabbroic rocks formed by accumulation of pigeonite and plagioclase from a mafic magma at depth within the crust, while basaltic eucrites are melt compositions that likely represent shallow-level dikes and sills, and flows. Some basaltic eucrites are richer in incompatible trace elements compared to most eucrites, and these may represent mixed melts contaminated by partial melts of the mafic crust. Differentiation occurred within a few Myr of formation of the earliest solids in the Solar System. Evidence from oxygen isotope compositions and siderophile element contents favor a model of extensive melting of Vesta forming a global magma ocean that rapidly (period of a few Myr) segregated and crystallized to yield a metallic core, olivine-rich mantle, orthopyroxene-rich lower crust and basaltic upper crust. The igneous lithologies were subjected to post-crystallization thermal processing, and most eucrites show textural and mineral-compositional evidence for metamorphism. The cause of this common metamorphism is unclear, but may have resulted from rapid burial of early basalts by later flows caused by high effusion rates on Vesta. The observed surface of Vesta is covered by fragmental debris resulting from impacts, and most HEDs are brecciated. Many eucrites and diogenites are monomict breccias indicating a lack of mixing. However, many HEDs are polymict breccias. Howardites are the most thoroughly mixed polymict breccias, yet only some of them contain evidence for residence in the true regolith. Based on the numbers of meteorites, compositions of howardites, and models of magma ocean solidification, cumulate eucrites and their residual ferroan mafic melts are minor components of the vestan crust.",Chemie der Erde - Geochemistry,2015.0,"Mittlefehldt, David W.","['Basaltic achondrites', 'Differentiated asteroids', 'Diogenites', 'Eucrites', 'Howardites', 'Vesta']",http://www.mendeley.com/research/asteroid-4-vesta-i-howarditeeucritediogenite-hed-clan-meteorites,6.0,1.0,,155-183,75,2,,Elsevier GmbH,,,,,,,False,21,"{'Student  > Ph. D. Student': 6, 'Researcher': 7, 'Other': 2, 'Student  > Bachelor': 1, 'Student  > Doctoral Student': 1, 'Student  > Master': 1, 'Professor > Associate Professor': 1, 'Student  > Postgraduate': 1, 'Librarian': 1}","{'Earth and Planetary Sciences': {'Earth and Planetary Sciences': 18}, 'Chemical Engineering': {'Chemical Engineering': 1}, 'Mathematics': {'Mathematics': 1}, 'Environmental Science': {'Environmental Science': 1}}",{'Italy': 2},,,10.1016/j.chemer.2014.08.002,0009-2819,00092819,S0009281914000798,,600526391,2-s2.0-84930760756,84930760756
