id,user_input,uri,doi,title,authors,year,citations_gs,citations_wos
12671,,,10.1097/00001888-200107000-00023,Assessing the new general competencies for resident education: A model from an emergency medicine program,"Reisdorff, EJ; Hayes, OW; Carlson, DJ; Walker, GL",2001,,18
12672,,,,SELF-EVALUATION IN UNDERGRADUATE MEDICAL-EDUCATION - A LONGITUDINAL PERSPECTIVE,"ARNOLD, L; WILLOUGHBY, TL; CALKINS, EV",1985,,74
12673,,,10.1097/00001888-199310000-00054,ISSUES IN MEDICAL-EDUCATION - BASIC PROBLEMS AND POTENTIAL SOLUTIONS,"SMALL, PA; STEVENS, CB; DUERSON, MC",1993,,21
12674,,,10.1097/00001888-199606000-00009,Navigating the wards: Teaching medical students to use their moral compasses,"Swenson, SL; Rothstein, JA",1996,,18
12675,,,,Manifesto for research on family medicine education,"Rodriguez, Charo; Bartlett-Esquilant, Gillian; Boillat, Miriam; Dove, Marion; Grad, Roland; Lalla, Leonora; Pluye, Pierre; Tellier, Pierre-Paul; Bergman, Howard",2015,,0
12676,,,,"Justice, Courage, and Truthfulness: Virtues That Medical Trainees Can and Must Learn","Karches, Kyle E.; Sulmasy, Daniel P.",2016,,1
12677,,,10.1186/s12909-015-0486-z,Socialization to professionalism in medical schools: a Canadian experience,"Byszewski, Anna; Gill, Jeewanjit S.; Lochnan, Heather",2015,,0
12678,,,10.5811/westjem.2016.2.29102,Emergency Medicine Resident Perceptions of Medical Professionalism,"Jauregui, Joshua; Gatewood, Medley O.; Ilgen, Jonathan S.; Schaninger, Caitlin; Strote, Jared",2016,,0
12679,,,10.3109/0142159x.2015.1045853,General competences on medical professionalism: Is it possible?,"Franco, Renato Soleiman; Giuliani dos Santos Franco, Camila Ament; Severo, Milton; Ferreira, Maria Amelia",2015,,0
12680,,,10.1017/s1047951115002097,Respect for patient autonomy as a medical virtue,"Cook, Thomas; Mavroudis, Constantine D.; Jacobs, Jeffrey P.; Mavroudis, Constantine",2015,,0
12681,,,,Ethics and professionalism in general practice placements: what should students learn?,"Sturman, Nancy; Saiepour, Nargess",2014,,1
12682,,,,Manifesto for family medicine educational research,"Rodriguez, Charo; Bartlett-Esquilant, Gillian; Boillat, Miriam; Dove, Marion; Grad, Roland; Lalla, Leonora; Pluye, Pierre; Tellier, Pierre-Paul; Bergman, Howard",2015,,0
12683,,,10.1097/acm.0000000000000910,A Methodological Review of the Assessment of Humanism in Medical Students,"Buck, Era; Holden, Mark; Szauter, Karen",2015,,2
12684,,,,Towards an educational continuing professional development (EdCPD) curriculum for Australian general practice supervisors,"Morgan, Simon; Ingham, Gerard; Wearne, Susan; Saltis, Tony; Canalese, Rosa; McArthur, Lawrie",2015,,1
12685,,,10.1186/s12909-016-0627-z,What makes a doctor a scholar: a systematic review and content analysis of outcome frameworks,"Hautz, Stefanie C.; Hautz, Wolf E.; Feufel, Markus A.; Spies, Claudia D.",2016,,0
12686,,,10.1002/pbc.25253,Humanism and Professionalism Education for Pediatric Hematology-Oncology Fellows: A Model for Pediatric Subspecialty Training,"Kesselheim, Jennifer C.; Atlas, Mark; Adams, Denise; Aygun, Banu; Barfield, Ray; Eisenman, Kristen; Fulbright, Joy; Garvey, Katharine; Kersun, Leslie; Rao, Amulya Nageswara; Reilly, Anne; Sharma, Mukta; Shereck, Evan; Wang, Michael; Watt, Tanya; Leavey, Patrick",2015,,0
12687,,,10.1136/vr.i1683,What does it mean to be a vet?,"Allister, Rosie",2016,,0
12688,,,10.3109/0142159x.2014.920492,Medical professionalism across cultures: A challenge for medicine and medical education,"Jha, Vikram; Mclean, Michelle; Gibbs, Trevor J.; Sandars, John",2015,,3
12689,,,10.3205/zma001044,Awareness of ethical issues in medical education: an interactive teach-the-teacher course,"Chiapponi, Costanza; Dimitriadis, Konstantinos; Oezguel, Gueluemser; Siebeck, Robert G.; Siebeck, Matthias",2016,,0
12690,,,,The expected results of faculty development programs in medical professionalism from the viewpoint of medical education experts,"Yamani, Nikoo; Shakour, Mahsa; Yousefi, Alireza",2016,,0
12691,,,,"""Constantly ignored and told to disappear"": A review of the literature on ""teaching by humiliation"" in medicine","Barrett, J.; Scott, K. M.",2015,,0
12692,,,10.1016/j.surg.2016.03.026,Teaching professionalism in graduate medical education: What is the role of simulation?,"Wali, Eisha; Pinto, Jayant M.; Cappaert, Melissa; Lambrix, Marcie; Blood, Angela D.; Blair, Elizabeth A.; Small, Stephen D.",2016,,1
12693,,,10.1111/1440-1630.12204,Conceptualising professionalism in occupational therapy through a Western lens,"Hordichuk, Chelsea J.; Robinson, Allison J.; Sullivan, Theresa M.",2015,,1
12694,,,10.14423/smj.0000000000000498,Fostering Clinical Excellence Across an Academic Health System,"Tackett, Sean; Eisele, David; McGuire, Maura; Rotello, Leo; Wright, Scott",2016,,0
12695,,,,"Comments on ""Defining professionalism in medical education: A systematic review""","Fulchand, Shivali; Kilgour, James; Anstey, Alex",2014,,0
12696,,,10.3109/0142159x.2014.923561,Program directors in their role as leaders of teaching teams in residency training,"Slootweg, Irene A.; van der Vleuten, Cees; Heineman, Maas Jan; Scherpbier, Albert; Lombarts, Kiki M. J. M. H.",2014,,1
12697,,,10.3109/0142159x.2015.1035054,"Development and alignment of undergraduate medical curricula in a web-based, dynamic Learning Opportunities, Objectives and Outcome Platform (LOOOP)","Balzer, Felix; Hautz, Wolf E.; Spies, Claudia; Bietenbeck, Andreas; Dittmar, Martin; Sugiharto, Firman; Lehmann, Lars; Eisenmann, Dorothea; Bubser, Florian; Stieg, Markus; Hanfler, Sven; Georg, Waltraud; Tekian, Ara; Ahlers, Olaf",2016,,0
12698,,,,Defining professionalism: Simplex sigillum veri!,"Barnhoorn, Pieter C.; Youngson, Callum C.",2014,,2
12699,,,10.1097/acm.0000000000000690,"""Beginning With the End in Mind"": Imagining Personal Retirement Speeches to Promote Professionalism","Yu, Eunice; Wright, Scott M.",2015,,2
12700,,,10.3109/0142159x.2014.956057,"Preserving third year medical students' empathy and enhancing self-reflection using small group ""virtual hangout'' technology","Duke, Pamela; Grosseman, Suely; Novack, Dennis H.; Rosenzweig, Steven",2015,,2
12701,,,10.1097/acm.0000000000000913,Amending Miller's Pyramid to Include Professional Identity Formation,"Cruess, Richard L.; Cruess, Sylvia R.; Steinert, Yvonne",2016,,5
12702,,,10.1097/00001888-200501000-00007,Precepting humanism: Strategies for fostering the human dimensions of care in ambulatory settings,"Gracey, CF; Haidet, P; Branch, WT; Weissmann, P; Kern, DE; Mitchell, G; Frankel, R; Inui, T",2005,,33
12703,,,10.1353/pbm.2002.0019,Literary inquiry and professional development in medicine - against abstractions,"Wear, D; Nixon, LL",2002,,16
12704,,,10.1016/j.amjmed.2005.01.021,Medical professionalism and the generation gap,"Smith, LG",2005,,42
12705,,,10.1080/01421590500046858,A BEME review: a little illumination - Commentary,"Hammick, M",2005,,6
12706,,,10.1016/j.ctim.2004.12.003,Systematic literature reviews,"White, A; Schmidt, K",2005,,21
12707,,,10.1136/bmj.38636.593461.68,Effectiveness and efficiency of search methods in systematic reviews of complex evidence: audit of primary sources,"Greenhalgh, T; Peacock, R",2005,,257
12708,,,,BEME Guide No. 1: Best evidence medical education,"Harden, RM; Grant, J; Buckley, G; Hart, IR",1999,,112
12709,,,10.1016/j.jclinepi.2009.11.007,The art and science of knowledge synthesis,"Tricco, Andrea C.; Tetzlaff, Jennifer; Moher, David",2011,,40
12710,,,10.1002/nur.20176,Using qualitative metasummary to synthesize qualitative and quantitative descriptive findings,"Sandelowski, Margarete; Barroso, Julie; Voils, Corrine I.",2007,,64
12711,,,,MEDICAL PROFESSIONALISM crossing a generational divide,"Walsh, Colin; Abelson, Herert T.",2008,,1
12712,,,10.1097/01.blo.0000229275.66570.97,Professionalism and medicine's social contract with society,"Cruess, Sylvia R.",2006,,33
12713,,,10.1111/j.1365-2648.2005.03621.x,The integrative review: updated methodology,"Whittemore, R; Knafl, K",2005,,773
12714,,,,Medical professionalism in the new millennium: A physicians' charter,,2002,,0
12715,,,10.1111/j.1365-2923.2009.03408.x,Sociological interpretations of professionalism,"Martimianakis, Maria Athina; Maniate, Jerry M.; Hodges, Brian David",2009,,51
12716,,,,A Conceptual Framework for the Use of Illness Narratives in Medical Education,"Kumagai, Arno K.",2008,,63
12717,,,10.1136/jech.2003.014829,Applying systematic review methods to studies of people's views: an example from public health research,"Harden, A; Garcia, J; Oliver, S; Rees, R; Shepherd, J; Brunton, G; Oakley, A",2004,,100
12718,,,,Medical professionalism in the new millennium: A physician charter 15 months later,"Blank, L; Kimball, H; McDonald, W; Merino, J",2003,,62
12719,,,10.1016/s0140-6736(01)06800-3,Doctors in the UK: their new professionalism and its regulatory framework,"Irvine, D",2001,,28
12720,,,,"Viewpoint: Linking professionalism to humanism: What it means, why it matters","Cohen, Jordan J.",2007,,48
12721,,,10.1136/jme.2006.017954,"Reflective professionalism: Interpreting CanMEDS' ""professionalism""","Verkerk, M. A.; De Bree, M. J.; Mourits, M. J. E.",2007,,9
12722,,,,"Defining Professionalism From the Perspective of Patients, Physicians, and Nurses","Green, Marianne; Zick, Amanda; Makoul, Gregory",2009,,17
12723,,,,Medical professionalism in the new millennium: a physicians' charter - Medical professionalism project,"Brennan, T; Blank, L; Cohen, J; Kimball, H; Smelser, N; Copeland, R; Lavizzo-Mourey, R; McDonald, W; Brenning, G; Davidson, C; Jaeger, P; Malliani, A; Muller, H; Sereni, D; Sutorius, E; Cruess, R; Cruess, S; Merino, J; Hernandez, M",2002,,9
12724,,,10.1001/jama.286.9.1067,Teaching the human dimensions of care in clinical settings,"Branch, WT; Kern, D; Haidet, P; Weissmann, P; Gracey, CF; Mitchell, G; Inui, T",2001,,130
12725,,,10.1111/j.1365-2929.2004.02033.x,Proto-professionalism: how professionalisation occurs across the continuum of medical education,"Hilton, None; Slotnick, HB",2005,,126
12726,,,10.1097/01.acm.0000238199.37217.68,Professionalism in medical education: An institutional challenge,"Goldstein, Erika A.; Maestas, Ramoncita R.; Fryer-Edwards, Kelly; Wenrich, Marjorie D.; Oelschlager, Anne-Marie Amies; Baernstein, Amy; Kimball, Harry R.",2006,,36
12727,,,,Medical professionalism in the new millennium: A physician charter,"Brennan, T; Blank, L; Cohen, J; Kimball, H; Smelser, N; Copeland, R; Lavizzo-Mourey, R; McDonald, W; Brenning, G; Davidson, C; Jaeger, P; Malliani, A; Muller, H; Sereni, D; Sutorius, E; Cruess, R; Cruess, S; Merino, J",2002,,4
12728,,,10.1111/j.1365-2923.2008.03130.x,The theory of planned behaviour in medical education: a model for integrating professionalism training,"Archer, Ray; Elder, William; Hustedde, Carol; Milam, Andrea; Joyce, Jennifer",2008,,26
12729,,,,Medicine under threat: professionalism and professional identity,"Sullivan, WM",2000,,50
12730,,,10.1111/j.1365-2929.2006.02512.x,"Professionalism in medical education, an American perspective: from evidence to accountability","Cohen, JJ",2006,,73
12731,,,,Viewpoint: Professionalism and humanism beyond the academic health center,"Swick, Herbert M.",2007,,17
12732,,,10.1097/00001888-200206000-00004,"Evaluating physicians' professionalism and humanism: The case for humanism ""connoisseurs""","Misch, DA",2002,,37
12733,,,10.1207/s15328015tlm1601_15,"""Profession"": A working definition for medical educators","Cruess, None; Johnston, S; Cruess, RL",2004,,75
12734,,,10.1097/acm.0b013e3181c887f7,Professional Formation: Extending Medicine's Lineage of Service Into the Next Century,"Rabow, Michael W.; Remen, Rachel N.; Parmelee, Dean X.; Inui, Thomas S.",2010,,43
12735,,,10.1378/chest.07-0464,The ethical foundations of professionalism - A sociologic history,"Sox, Harold C.",2007,,30
12736,,,10.1097/00001888-200510000-00004,Viewpoint: Today's professionalism: Engaging the mind but not the heart,"Coulehan, J",2005,,145
12737,,,10.1111/j.1365-2923.2009.03411.x,Doctors in acute and longitudinal care specialties emphasise different professional attributes: implications for training programmes,"Garfield, Joseph M.; Garfield, Frances B.; Hevelone, Nathanael D.; Bhattacharyya, Neil; Dedrick, Daniel F.; Ashley, Stanley W.; Nadel, Eric S.; Katz, Joel T.; Kim, Christine; Mitani, Aya A.",2009,,3
12738,,,10.1370/afm.979,Promise of Professionalism: Personal Mission Statements Among a National Cohort of Medical Students,"Rabow, Michael W.; Wrubel, Judith; Remen, Rachel Naomi",2009,,22
12739,,,10.3109/01421590903414245,Conducting a best evidence systematic review. Part 1: From idea to data coding. BEME Guide No. 13,"Hammick, Marilyn; Dornan, Timothy; Steinert, Yvonne",2010,,34
12740,,,10.1046/j.1365-2923.2003.01470.x,Fostering students' personal and professional development in medicine: a new framework for PPD,"Gordon, J",2003,,44
12741,,,,The journey to creating a campus-wide culture of professionalism,"Smith, Kirk L.; Saavedra, Rebecca; Raeke, Jennifer L.; O'Donell, Alice Anne",2007,,18
12742,,,10.1186/1471-2288-7-4,Worked examples of alternative methods for the synthesis of qualitative and quantitative research in systematic reviews,"Lucas, Patricia J.; Baird, Janis; Arai, Lisa; Law, Catherine; Roberts, Helen M.",2007,,62
12743,,,10.1111/j.1365-2929.2006.02567.x,Perceptions of professionalism in medicine: a qualitative study,"Jha, V.; Bekker, H. L.; Duffy, S. R. G.; Roberts, T. E.",2006,,39
12744,,,10.1002/asi.4630270505,GENERAL THEORY OF BIBLIOMETRIC AND OTHER CUMULATIVE ADVANTAGE PROCESSES,"PRICE, DJD",1976,,607
12745,,,10.1111/j.1525-1497.2006.00383.x,Personal growth during internship - A qualitative analysis of interns' responses to key questions,"Levine, Rachel B.; Haidet, Paul; Kern, David E.; Beasley, Brent W.; Bensinger, Liso; Brady, Donald W.; Gress, Todd; Hughes, Jennifer; Marwaha, Ajay; Nelson, Jennifer; Wright, Scott M.",2006,,16
12746,,,10.1097/00001888-200210000-00008,Physicians' professional responsibility to improve the quality of care,"Brennan, TA",2002,,53
12747,,,,Medical professionalism: the trainees' views,"Chard, D; Elsharkawy, A; Newbery, N",2006,,11
12748,,,10.1111/j.1365-2929.2005.02296.x,"The Healer's Art: professionalism, service and mission","Remen, RN; Rabow, MW",2005,,20
12749,,,10.1111/j.1365-2648.2008.04813.x,"Reading, writing and systematic review","Sandelowski, Margarete",2008,,21
12750,,,,Professionalism in the practice of medicine,"Bloom, SW",2002,,11
12751,,,,TEACHING HUMANISM,"Stern, David T.; Cohen, Jordan J.; Bruder, Ann; Packer, Barbara; Sole, Allison",2008,,20
12752,,,10.3103/s0884591311060055,Reliability of Estimates for the Sizes of Spots on Asteroid Surfaces Made by the Spectral-Frequency Method,"Mikhailovskaya, V. V. Prokof'eva; Busarev, V. V.; Gor'kavyi, N. N.; Rublevskii, A. N.",2011,,0
12753,,,,Kuiper Belt and comets: An observational perspective,"Jewitt, D.",2008,,9
12754,,,10.1086/507448,Space weathering in the main asteroid belt: The big picture,"Lazzarin, M.; Marchi, S.; Moroz, L. V.; Brunetto, R.; Magrin, S.; Paolicchi, P.; Strazzulla, G.",2006,,35
12755,,,10.1016/j.chemer.2007.09.002,Water and astrobiology,"Mottl, Michael J.; Glazer, Brian T.; Kaiser, Ralf I.; Meech, Karen J.",2007,,31
12756,,,,Classifying solid planetary bodies,"Remo, John L.",2007,,0
12757,,,10.1016/j.icarus.2007.09.016,Meteoroid streams that trace to candidate dormant comets,"Jenniskens, Peter",2008,,26
12758,,,10.1088/2041-8205/764/1/l5,LARGE PARTICLES IN ACTIVE ASTEROID P/2010 A2,"Jewitt, David; Ishiguro, Masateru; Agarwal, Jessica",2013,,8
12759,,,10.1007/s11214-007-9274-3,Origin of comet nuclei and dynamics,"Fernandez, Julio A.",2008,,6
12760,,,10.1088/0004-637x/798/2/109,EPISODIC EJECTION FROM ACTIVE ASTEROID 311P/PANSTARRS,"Jewitt, David; Agarwal, Jessica; Weaver, Harold; Mutchler, Max; Larson, Stephen",2015,,3
12761,,,10.1088/0004-637x/770/2/97,DETECTION OF COMA ACTIVITY OF THE ACO/QUASI-HILDA OBJECT 212P/2000YN(30),"Cheng, Y. -C.; Ip, W. -H.",2013,,1
12762,,,10.1134/s0038094610060043,Spectral studies of asteroids 21 lutetia and 4 vesta as objects of space missions,"Busarev, V. V.",2010,,4
12763,,,10.1017/s1743921311025026,Chemistry of the Solar System Revealed in the Interiors of the Giant Planets,"Lunine, Jonathan I.",2011,,0
12764,,,10.1088/0004-637x/744/1/9,OPTICAL AND DYNAMICAL CHARACTERIZATION OF COMET-LIKE MAIN-BELT ASTEROID (596) SCHEILA,"Hsieh, Henry H.; Yang, Bin; Haghighipour, Nader",2012,,27
12765,,,10.2113/gselements.7.1.11,A Cosmochemical View of the Solar System,"Lauretta, Dante S.",2011,,4
12766,,,10.1051/0004-6361/200913339,Polarimetry and photometry of the peculiar main-belt object 7968=133P/Elst-Pizarro,"Bagnulo, S.; Tozzi, G. P.; Boehnhardt, H.; Vincent, J. -B.; Muinonen, K.",2010,,14
12767,,,10.1051/0004-6361/201219828,Near-Earth asteroids among the Scorpiids meteoroid complex (Research Note),"Babadzhanov, P. B.; Williams, I. P.; Kokhirova, G. I.",2013,,9
12768,,,10.1111/j.1945-5100.2011.01302.x,Evidence for an asteroid-comet continuum from simulations of carbonaceous microxenolith dynamical evolution,"Briani, Giacomo; Morbidelli, Alessandro; Gounelle, Matthieu; Nesvorny, David",2011,,11
12769,,,10.1088/0004-6256/136/2/881,Observations of 1999 YC and the breakup of the Geminid stream parent,"Kasuga, Toshihiro; Jewitt, David",2008,,20
12770,,,10.1016/j.icarus.2011.08.001,Limits on the size and orbit distribution of main belt comets,"Sonnett, Sarah; Kleyna, Jan; Jedicke, Robert; Masiero, Joseph",2011,,10
12771,,,10.1134/s0038094614040091,CHOMIK: a multi-method approach for studying Phobos,"Rickman, H.; Slaby, E.; Gurgurewicz, J.; Smigielski, M.; Banaszkiewicz, M.; Grygorczuk, J.; Morawski, M.; Seweryn, K.; Wawrzaszek, R.",2014,,1
12772,,,10.1126/science.1150683,Comparison of comet 81P/Wild 2 dust with interplanetary dust from comets,"Ishii, Hope A.; Bradley, John P.; Dai, Zu Rong; Chi, Miaofang; Kearsley, Anton T.; Burchell, Mark J.; Browning, Nigel D.; Molster, Frank",2008,,136
12773,,,10.1088/0004-637x/747/1/49,WISE/NEOWISE OBSERVATIONS OF ACTIVE BODIES IN THE MAIN BELT,"Bauer, James M.; Mainzer, A. K.; Grav, Tommy; Walker, Russell G.; Masiero, Joseph R.; Blauvelt, Erin K.; McMillan, Robert S.; Fernandez, Yan R.; Meech, Karen J.; Lisse, Carey M.; Cutri, Roc M.; Dailey, John W.; Tholen, David J.; Riesen, Timm; Urban, Laurie; Khayat, Alain; Pearman, George; Scotti, James V.; Kramer, Emily; Cherry, De'Andre; Gautier, Thomas; Gomillion, Stephanie; Watkins, Jessica; Wright, Edward L.",2012,,17
12774,,,10.1038/4641286a,ASTEROIDS A frosty finding,"Hsieh, Henry H.",2010,,1
12775,,,10.1007/s11038-009-9331-x,Turning Asteroids into Comets with ELTs,"Fitzsimmons, Alan",2009,,0
12776,,,10.1093/mnrasl/slv125,The reactivation of main-belt Comet 324P/La Sagra (P/2010 R2),"Hsieh, H. H.; Sheppard, S. S.",2015,,3
12777,,,10.3847/0004-637x/826/2/137,DUST LOSS FROM ACTIVATED ASTEROID P/2015 X6,"Moreno, F.; Licandro, J.; Cabrera-Lavers, A.; Pozuelos, F. J.",2016,,0
12778,,,10.1007/s12210-011-0124-6,Prebiotic chemical evolution: a meteoritic perspective,"Pizzarello, Sandra",2011,,4
12779,,,,Dynamical constraints on the origin of Main Belt comets,"Haghighipour, N.",2009,,24
12780,,,10.1051/0004-6361/201425512,"2P/Encke, the Taurid complex NEOs and the Maribo and Sutter's Mill meteorites","Tubiana, C.; Snodgrass, C.; Michelsen, R.; Haack, H.; Boehnhardt, H.; Fitzsimmons, A.; Williams, I. P.",2015,,1
12781,,,10.1111/maps.12353,"The OSIRIS-REx target asteroid (101955) Bennu: Constraints on its physical, geological, and dynamical nature from astronomical observations","Lauretta, D. S.; Bartels, A. E.; Barucci, M. A.; Bierhaus, E. B.; Binzel, R. P.; Bottke, W. F.; Campins, H.; Chesley, S. R.; Clark, B. C.; Clark, B. E.; Cloutis, E. A.; Connolly, H. C.; Crombie, M. K.; Delbo, M.; Dworkin, J. P.; Emery, J. P.; Glavin, D. P.; Hamilton, V. E.; Hergenrother, C. W.; Johnson, C. L.; Keller, L. P.; Michel, P.; Nolan, M. C.; Sandford, S. A.; Scheeres, D. J.; Simon, A. A.; Sutter, B. M.; Vokrouhlicky, D.; Walsh, K. J.",2015,,17
12782,,,10.1007/s11038-007-9164-4,Natural variations in comet-aggregate meteoroid compositions,"Rietmeijer, Frans J. M.",2008,,1
12783,,,10.1016/j.pss.2011.09.005,Ptolemy operations and results during the Lutetia flyby,"Andrews, D. J.; Morse, A. D.; Barber, S. J.; Leese, M. R.; Morgan, G. H.; Sheridan, S.; Zarnecki, J. C.; Pillinger, C. T.; Wright, I. P.",2012,,7
12784,,,10.1088/2041-8205/802/1/l8,FAST ROTATION AND TRAILING FRAGMENTS OF THE ACTIVE ASTEROID P/2012 F5 (GIBBS)*,"Drahus, Michal; Waniak, Waclaw; Tendulkar, Shriharsh; Agarwal, Jessica; Jewitt, David; Sheppard, Scott S.",2015,,4
12785,,,10.1088/0004-637x/738/2/130,(596) SCHEILA IN OUTBURST: A PROBABLE COLLISION EVENT IN THE MAIN ASTEROID BELT,"Moreno, F.; Licandro, J.; Ortiz, J. L.; Lara, L. M.; Ali-Lagoa, V.; Vaduvescu, O.; Morales, N.; Molina, A.; Lin, Z. -Y.",2011,,16
12786,,,10.1088/0004-637x/759/2/142,CHARACTERIZATION OF ACTIVE MAIN BELT OBJECT P/2012 F5 (GIBBS): A POSSIBLE IMPACTED ASTEROID,"Stevenson, R.; Kramer, E. A.; Bauer, J. M.; Masiero, J. R.; Mainzer, A. K.",2012,,19
12787,,,10.1088/0004-637x/726/2/101,SEARCH FOR THE COMET ACTIVITY OF 107P/(4015) WILSON-HARRINGTON DURING THE 2009/2010 APPARITION,"Ishiguro, Masateru; Ham, Ji-Beom; Tholen, David J.; Elliott, Garrett T.; Micheli, Marco; Niwa, Takahiro; Sakamoto, Makoto; Matsuda, Kentaro; Urakawa, Seitaro; Yoshimoto, Katsumi; Sarugaku, Yuki; Usui, Fumihiko; Hasegawa, Sunao; Iwata, Ikuru; Ozaki, Shinobu; Kuroda, Daisuke; Ootsubo, Takafumi",2011,,5
12788,,,10.1007/978-1-4020-9457-6_3,The Kuiper Belt and Other Debris Disks,"Jewitt, David; Moro-Martin, Amaya; Lacerda, Pedro",2009,,7
12789,,,10.1088/2041-8205/758/1/l3,THE NUCLEUS OF MAIN-BELT COMET 259P/GARRADD,"MacLennan, Eric M.; Hsieh, Henry H.",2012,,3
12790,,,10.1073/pnas.1014961108,Abundant ammonia in primitive asteroids and the case for a possible exobiology,"Pizzarello, Sandra; Williams, Lynda B.; Lehman, Jennifer; Holland, Gregory P.; Yarger, Jeffery L.",2011,,27
12791,,,10.1088/1538-3873/128/959/018009,Cometary Science with the James Webb Space Telescope,"Kelley, Michael S. P.; Woodward, Charles E.; Bodewits, Dennis; Farnham, Tony L.; Gudipati, Murthy S.; Harker, David E.; Hines, Dean C.; Knight, Matthew M.; Kolokolova, Ludmilla; Li, Aigen; de Pater, Imke; Protopapa, Silvia; Russell, Ray W.; Sitko, Michael L.; Wooden, Diane H.",2016,,2
12792,,,10.1088/2041-8205/784/1/l8,DISINTEGRATING ASTEROID P/2013 R3,"Jewitt, David; Agarwal, Jessica; Li, Jing; Weaver, Harold; Mutchler, Max; Larson, Stephen",2014,,23
12793,,,10.1016/j.icarus.2014.08.044,Observational constraints on the catastrophic disruption rate of small Cross Mark main belt asteroids,"Denneau, Larry; Jedicke, Robert; Fitzsimmons, Alan; Hsieh, Henry; Kleyna, Jan; Granvik, Mikael; Micheli, Marco; Spahr, T.; Veres, Peter; Wainscoat, Richard; Burgett, W. S.; Chambers, K. C.; Draper, P. W.; Flewelling, H.; Huber, M. E.; Kaiser, N.; Morgan, J. S.; Tonry, J. L.",2015,,6
12794,,,10.1111/maps.12401,Origin and history of ureilitic material in the solar system: The view from asteroid 2008 TC3 and the Almahata Sitta meteorite,"Goodrich, Cyrena Anne; Hartmann, William K.; O'Brien, David P.; Weidenschilling, Stuart J.; Wilson, Lionel; Michel, Patrick; Jutzi, Martin",2015,,7
12795,,,10.1016/j.icarus.2014.08.033,The nucleus of main-belt Comet P/2010 R2 (La Sagra),"Hsieh, Henry H.",2014,,6
12796,,,10.1016/j.icarus.2014.01.040,Aqueous alteration on main belt primitive asteroids: Results from visible spectroscopy,"Fornasier, S.; Lantz, C.; Barucci, M. A.; Lazzarin, M.",2014,,12
12797,,,10.1016/j.icarus.2013.12.019,Discovery of a young asteroid cluster associated with P/2012 F5 (Gibbs),"Novakovic, Bojan; Hsieh, Henry H.; Cellino, Alberto; Micheli, Marco; Pedani, Marco",2014,,3
12798,,,10.1051/0004-6361/201220169,An upper limit for the water outgassing rate of the main-belt comet 176P/LINEAR observed with Herschel/HIFI,"de Val-Borro, M.; Rezac, L.; Hartogh, P.; Biver, N.; Bockelee-Morvan, D.; Crovisier, J.; Kueppers, M.; Lis, D. C.; Szutowicz, S.; Blake, G. A.; Emprechtinger, M.; Jarchow, C.; Jehin, E.; Kidger, M.; Lara, L. -M.; Lellouch, E.; Moreno, R.; Rengel, M.",2012,,9
12799,,,10.1016/j.icarus.2011.10.008,Ensemble properties of comets in the Sloan Digital Sky Survey,"Solontoi, Michael; Lvezic, Zeljko; Juric, Mario; Becker, Andrew C.; Jones, Lynne; West, Andrew A.; Kent, Steve; Lupton, Robert H.; Claire, Mark; Knapp, Gillian R.; Quinn, Tom; Gunn, James E.; Schneider, Donald P.",2012,,12
12800,,,10.1088/2041-8205/733/1/l4,HUBBLE SPACE TELESCOPE OBSERVATIONS OF MAIN-BELT COMET (596) SCHEILA,"Jewitt, David; Weaver, Harold; Mutchler, Max; Larson, Stephen; Agarwal, Jessica",2011,,51
12801,,,10.1016/j.icarus.2013.10.019,"Transmission infrared spectra (2-25 mu m) of carbonaceous chondrites (CI, CM, CV-CK, CR, C2 ungrouped): Mineralogy, water, and asteroidal processes","Beck, P.; Garenne, A.; Quirico, E.; Bonal, L.; Montes-Hernandez, G.; Moynier, F.; Schmitt, B.",2014,,19
12802,,,10.1111/maps.12010,A NanoSIMS and Raman spectroscopic comparison of interplanetary dust particles from comet Grigg-Skjellerup and non-Grigg Skjellerup collections,"Davidson, Jemma; Busemann, Henner; Franchi, Ian A.",2012,,11
12803,,,10.1051/0004-6361/201220080,Exploring the nature of new main-belt comets with the 10.4 m GTC telescope: (300163) 2006 VW139,"Licandro, J.; Moreno, F.; de Leon, J.; Tozzi, G. P.; Lara, L. M.; Cabrera-Lavers, A.",2013,,10
12804,,,10.1111/j.1945-5100.2011.01197.x,Experimental aqueous alteration of cometary dust,"Nakamura-Messenger, Keiko; Clemett, Simon J.; Messenger, Scott; Keller, Lindsay P.",2011,,12
12805,,,10.3847/0004-6256/151/1/12,HUBBLE AND KECK TELESCOPE OBSERVATIONS OF ACTIVE ASTEROID 288P/300163 (2006 VW139),"Agarwal, Jessica; Jewitt, David; Weaver, Harold; Mutchler, Max; Larson, Stephen",2016,,0
12806,,,10.1016/j.icarus.2010.01.020,Explosion of Comet 17P/Holmes as revealed by the Spitzer Space Telescope,"Reach, William T.; Vaubaillon, Jeremie; Lisse, Carey M.; Holloway, Mikel; Rho, Jeonghee",2010,,41
12807,,,10.1017/s1743921310001808,The unusually frail asteroid 2008 TC3,"Jenniskens, Peter; Shaddad, Muawia H.",2010,,1
12808,,,10.1016/j.icarus.2011.10.005,Main Belt Comet P/2008 R1 Garradd: Duration of activity,"Kossacki, Konrad J.; Szutowicz, Slawomira",2012,,3
